Description;Asset;Route Name;Source Name;Asset Type;Source State;Destination State;Destination Name;Source Mode;Destination Mode;Source Interface;Destination Interface;Source Protocol;Destination Protocol;Source BW;Destination BW;S_SSM;Destination IP;Source Address;Destination Port;Source Port;Last Update;BW In Total;BW Out Total
SRT-COBC-02-95-1;SRT-COBC-02;95_AWSOUT_SRT-COBC-02;AWS_34.237.199.62;Broadcast;connecting;disconnected;LAN;Listener;Multicast;;ens32;SRT;UDP;0;0;0.0.0.0;238.77.28.95;0.0.0.0;10,000;10,031;2/6/2026 09:36;391.76;259.43
SRT-COBC-01-003-2;SRT-COBC-01;003_COBC-PID_MON-01;SENCORE-01;Broadcast;;connected;COBC-PID_MON-01-SRT5;;Caller;;ens33;;SRT;;36.47;;10.177.58.105;;14,105;;2/6/2026 09:36;338.43;280.35
SRT-COBC-02-020-1;SRT-COBC-02;020_TX67B-vUTPS-CBC_COBC;TX67B-vUTPS-CBC;Broadcast;disconnected;;TX-67;Listener;Multicast;ens33;ens32;SRT;RTP;0;0;0.0.0.0;239.77.218.67;0.0.0.0;5,080;14,067;2/6/2026 09:36;391.76;259.43
SRT-COBC-01-005-1;SRT-COBC-01;005_COBC01_BBC01_VUTPS-70;VUTPS-70;Broadcast;connected;disconnected;BBC01-VUTPS-70;Multicast;Caller;ens32;ens33;RTP;SRT;47.92;0;10.77.205.70;189.28.24.97;239.77.206.70;14,025;5,080;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-002-1;SRT-COBC-01;002_COBC01_DL-IRD 1;ADTEC-04;Broadcast;connected;disconnected;COBC_MON_04;Multicast;Listener;ens32;ens33;UDP;SRT;3.58;0;10.77.216.130;0.0.0.0;239.77.216.134;14,004;8,000;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-007-1;SRT-COBC-01;007_COBC01_MON-02;ADTEC-02;Broadcast;connected;connected;CBC TOC 1 TX View;Multicast;Caller;ens32;ens33;UDP;SRT;3.57;3.58;10.77.216.130;10.133.92.150;239.77.216.132;14,003;8,000;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-013-1;SRT-COBC-01;013_TX76P-MUX-ABC_COBC;TX76P-MUX-ABC;Broadcast;connected;connected;TX-76-vUTPS-P;Listener;Multicast;ens33;ens32;SRT;RTP;41.23;41.13;0.0.0.0;239.9.250.76;0.0.0.0;5,090;14,076;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-004-1;SRT-COBC-01;004_COBC-TX-View-1;ADTEC-03;Broadcast;connected;disconnected;COBC_MON_03;Multicast;Listener;ens32;ens33;UDP;SRT;3.57;0;10.77.216.130;0.0.0.0;239.77.216.133;14,003;8,000;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-003-3;SRT-COBC-01;003_COBC-PID_MON-01;SENCORE-01;Broadcast;;disconnected;COBC-PID_MON-01-intnet;;Caller;;;;SRT;;0;;168.195.108.103;;14,105;;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-012-1;SRT-COBC-01;012_TX70P-MUX-ABC_COBC;TX70P-MUX-ABC;Broadcast;connected;connected;TX-70-vUTPS-P;Listener;Multicast;ens33;ens32;SRT;RTP;47.94;47.82;0.0.0.0;239.9.250.70;0.0.0.0;5,090;14,070;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-015-2;SRT-COBC-01;015_TX-65-MUX-CBC-COBC;CBC SRT P;Broadcast;;;TX-65-vUTPS-P;;Multicast;;ens32;;RTP;;0;;239.9.250.65;;5,090;;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-011-1;SRT-COBC-01;011_TX68P-MUX-ABC_COBC;TX68P-MUX-ABC;Broadcast;connected;disconnected;BBC-TEST;Listener;Caller;ens33;ens33;SRT;SRT;41.23;0;0.0.0.0;189.28.24.97;0.0.0.0;14,025;14,068;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-015-1;SRT-COBC-01;015_TX-65-MUX-CBC-COBC;CBC SRT P;Broadcast;disconnected;disconnected;BBC-TX-65-B-MUX;Listener;Caller;;ens33;SRT;SRT;0;0;0.0.0.0;189.28.24.97;0.0.0.0;14,025;14,165;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-014-1;SRT-COBC-01;014_TX88P-MUX-ABC_COBC;TX88P-MUX-ABC;Broadcast;connected;connected;TX-88-vUTPS-P;Listener;Multicast;ens33;ens32;SRT;RTP;47.93;47.81;0.0.0.0;239.9.250.88;0.0.0.0;5,090;14,088;2/6/2026 09:36;338.43;280.35
SRT-COBC-02-071-1;SRT-COBC-02;071_akamai_cobc02_poc;akamai_return;Broadcast;connecting;disconnected;lan_cobc02;Caller;Multicast;ens33;ens34;SRT;UDP;0;0;0.0.0.0;238.77.26.71;172.233.26.67;10,000;6,002;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-105-1;SRT-COBC-02;105_tata_cobc_Tx73_bk;Tx73;Broadcast;disconnected;;;Listener;;ens33;;SRT;;0;;0.0.0.0;;0.0.0.0;;10,105;2/6/2026 09:36;;
SRT-COBC-02-102-1;SRT-COBC-02;102_tata_cobc02_tx-66_bk;tx66_bk;Broadcast;connecting;;;Listener;;ens33;;SRT;;0;;0.0.0.0;;0.0.0.0;;10,102;2/6/2026 09:36;;
SRT-COBC-02-101-1;SRT-COBC-02;101_tata_cobc_Tx65_bk;Tx65;Broadcast;connecting;;;Listener;;ens33;;SRT;;0;;0.0.0.0;;0.0.0.0;;10,101;2/6/2026 09:36;;
SRT-COBC-02-025-1;SRT-COBC-02;025_TX76B-UTPS-ABC_COBC;TX76-UTPS-ABC;Broadcast;disconnected;;TX-76;Listener;Multicast;ens33;ens32;SRT;RTP;0;0;0.0.0.0;239.77.218.76;0.0.0.0;5,080;14,075;2/6/2026 09:36;391.76;259.43
SRT-COBC-01-010-1;SRT-COBC-01;010_TX-69-MUX-CBC-CoBC;CBC SRT P;Broadcast;connected;connected;TX-69-vUTPS-P;Listener;Multicast;;ens32;SRT;RTP;47.41;47.29;0.0.0.0;239.9.250.69;0.0.0.0;5,090;14,169;2/6/2026 09:36;338.43;280.35
SRT-COBC-02-018-1;SRT-COBC-02;018_TX65B-VUTPS-CBC_COBC;TX65-UTPS-CBC;Broadcast;disconnected;;TX65_MOD;Listener;Multicast;ens33;ens32;SRT;RTP;0;0;0.0.0.0;239.77.218.65;0.0.0.0;5,080;14,065;2/6/2026 09:36;391.76;259.43
SRT-COBC-01-032-1;SRT-COBC-01;032_ABC01_COBC01_DSPORTS_BORRAR;ABC01-F01_DSPORTS;Broadcast;connecting;disconnected;SIMPLE-TEST;Listener;Caller;ens33;ens33;SRT;SRT;0;0;0.0.0.0;138.185.64.22;0.0.0.0;2,106;10,032;2/6/2026 09:36;338.43;280.35
SRT-COBC-02-016-1;SRT-COBC-02;016_TX-67-MUX-CBC-COBC;CBC SRT B;Broadcast;disconnected;;TX-67-vUTPS-B;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.9.251.67;0.0.0.0;5,090;14,167;2/6/2026 09:36;391.76;259.43
SRT-COBC-01-006-2;SRT-COBC-01;006_COBC_MON-01_no borrar;ADTEC-01;Broadcast;;disconnected;COBC_MON_01;;Caller;;ens33;;SRT;;0;;10.177.58.103;;14,101;;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-016-1;SRT-COBC-01;016_TX-66-MUX-CBC-COBC;CBC SRT P;Broadcast;disconnected;;TX-66-vUTPS-P;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.9.250.66;0.0.0.0;5,090;14,166;2/6/2026 09:36;338.43;280.35
SRT-COBC-02-014-2;SRT-COBC-02;014_TX-65-MUX-CBC-COBC;CBC SRT B;Broadcast;;disconnected;TX-65-vUTPS-B;;Multicast;;ens32;;RTP;;0;;239.9.251.65;;5,090;;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-013-1;SRT-COBC-02;013_TX88B-MUX-ABC_COBC;TX88B-MUX-ABC;Broadcast;connected;connected;TX-88-vUTPS-B;Listener;Multicast;ens33;ens32;SRT;RTP;47.93;47.81;0.0.0.0;239.9.251.88;0.0.0.0;5,090;14,088;2/6/2026 09:36;391.76;259.43
SRT-COBC-02-011-2;SRT-COBC-02;011_TX70B-MUX-ABC_COBC02;TX70B-MUX-ABC;Broadcast;;connected;TX-70-vUTPS-B;;Multicast;;ens32;;RTP;;47.81;;239.9.251.70;;5,090;;2/6/2026 09:36;391.76;259.43
SRT-COBC-01-028-1;SRT-COBC-01;028_COBC-PID_MON-02;SENCORE-02;Broadcast;connection established;;;Multicast;;ens32;;UDP;;0;;10.77.204.113;;239.77.204.113;;10,000;2/6/2026 09:36;;
SRT-COBC-01-026-1;SRT-COBC-01;026_TX76P-UTPS-ABC_COBC;TX76-UTPS-ABC;Broadcast;disconnected;;TX-76;Listener;Multicast;;ens32;SRT;RTP;0;0;0.0.0.0;239.77.206.76;0.0.0.0;5,080;14,075;2/6/2026 09:36;338.43;280.35
SRT-COBC-01-023-1;SRT-COBC-01;023_TX69P-UTPS-CBC_COBC;TX69-UTPS;Broadcast;disconnected;;TX-69;Listener;Multicast;ens33;ens32;SRT;RTP;0;0;0.0.0.0;239.77.206.69;0.0.0.0;5,080;14,069;2/6/2026 09:36;338.43;280.35
SRT-CBC-01-78-1;SRT-CBC-01;78_MLB CH5-PD01-TGT-AWS-WEST-MAIN;MLB CH5;Broadcast;connecting;disconnected;CBC VIDEO NETWORK;Caller;Multicast;eno1;eno2;SRT;UDP;0;0;0.0.0.0;233.233.250.209;jydwq-srt.mlb.io.zixi.com;5,004;15,005;2/6/2026 09:35;377.38;368.39
